"","coordinates_lat","coordinates_lon","date","zipCode"
"376",55.907223,12.183523,2001-05-02,3320
"377",54.904694,9.607561,1997-06-24,6320
"378",56.96473,10.223379,2003-02-28,9280
"379",55.86603,9.85189,1998-08-06,8700
"380",55.910656,12.487488,1999-04-09,2980
"381",55.045128,12.247295,2007-10-09,4780
"382",55.581173,12.639367,2005-10-19,2791
"383",55.582546,11.901178,2001-10-18,4330
"384",56.653282,9.973459,2010-11-29,9550
"385",57.041553,9.967428,2001-05-18,9000
"386",55.6997,12.552481,2004-12-08,2200
"387",55.73236,11.035613,2022-02-16,4400
"388",55.886875,9.560708,2004-01-08,7160
"389",56.46017,9.442046,1993-10-22,8800
"390",55.275787,11.6858425,1998-10-07,4700
"391",55.07152,10.632766,2008-09-25,5700
"392",55.64512,12.526747,2005-01-09,2450
"393",55.908413,12.164906,2021-01-26,3320
"394",56.450497,9.400241,1993-10-20,8800
"395",55.469696,8.69369,2020-12-12,6740
"396",57.09826,9.518703,2008-03-27,9460
"397",54.860386,11.884033,2001-12-20,4863
"398",55.687115,12.537202,2018-02-02,2000
"399",54.861855,10.379139,2014-12-29,5970
"400",57.04345,8.509101,2006-11-29,7700
"401",55.94308,12.3121195,2009-07-28,3400
"402",56.175575,10.156884,2005-10-17,8210
"403",55.793884,9.64848,1995-03-17,8723
"404",56.082493,12.142744,2002-04-20,3210
"405",55.234966,10.772526,2007-03-22,5871
"406",55.37001,10.37023,1993-06-28,5250
"407",55.72864,12.460026,1995-10-09,2860
"408",55.149075,15.092874,1997-04-17,3740
"409",55.231754,11.755928,2010-02-09,4700
"410",56.367886,8.6540985,2003-10-03,7500
"411",55.70498,12.49404,1997-11-20,2700
"412",56.54125,9.855128,2017-07-05,8990
"413",55.735985,12.357743,2003-07-14,2750
"414",55.727535,9.109254,2018-04-13,7190
"415",55.51651,9.63667,2014-03-18,7000
"416",56.084923,12.206486,2010-02-15,3230
"417",57.445427,9.99615,1996-08-26,9800
"418",57.040283,10.363808,2020-01-13,9370
"419",55.488995,9.971246,2000-01-17,5464
"420",55.677353,12.452183,2001-08-30,2610
"421",55.62303,8.281801,2002-02-07,6840
"422",56.151596,10.0929575,1995-01-24,8220
"423",56.229958,8.854233,2013-02-20,7400
"424",56.423462,8.840151,2006-08-15,7830
"425",56.38908,8.5878725,2017-01-08,7500
"426",56.139343,9.494617,2020-07-12,8600
"427",56.12201,12.26132,2001-06-10,3250
"428",56.214287,9.997981,2021-08-26,8471
"429",55.04569,10.611066,2002-05-16,5700
"430",56.174038,9.488233,1998-11-09,8600
"431",55.61069,11.758206,2007-09-01,4340
"432",56.925606,10.019042,1997-12-26,9260
"433",54.942318,8.865908,2014-04-25,6270
"434",56.270622,8.15591,1999-04-29,6990
"435",55.93158,9.846951,1998-10-27,8751
"436",54.69557,11.399936,2018-04-24,4970
"437",55.058064,9.410826,2003-09-01,6200
"438",55.639603,11.19175,2012-02-17,4400
"439",55.504604,11.287221,1995-08-14,4270
"440",55.622093,12.395211,2010-03-02,2665
"441",57.15049,10.276509,2016-02-14,9330
"442",55.479485,9.138843,1998-08-05,6600
"443",55.50057,9.739486,2001-03-12,5500
