nr,longitude,latitude
5883,10.77337328,55.11784585
5884,10.7120614,55.1496317
5892,10.63638217,55.15512414
5900,10.80968538,54.88518842
5932,10.63436277,54.81821541
5935,10.66497262,54.65753168
5943,10.58807706,54.90089651
5953,10.94268354,55.06361655
5960,10.51672958,54.85672022
5965,10.50923834,54.9345412
5970,10.33601694,54.79716403
5985,10.21809442,54.94375791
6000,9.46847631,55.50221297
6040,9.29089234,55.61664144
6051,9.46401838,55.55907816
6052,9.49835852,55.58677181
6064,9.3183142,55.55380577
6070,9.44750863,55.35487274
6091,9.55990342,55.44548525
6092,9.65720072,55.44711912
6093,9.53828204,55.4068472
6094,9.62026417,55.38893478
6100,9.61886938,55.24177268
6200,9.49975045,55.02899493
6210,9.58941416,55.1226369
6230,9.28037618,55.07437317
6240,8.96415413,55.06237954
6261,8.68091354,55.07311357
6270,8.89453488,54.95248429
6280,8.65269961,54.97473424
6300,9.55791076,54.91730187
6310,9.68079394,54.8713804
6320,9.61059297,54.90003298
6330,9.30983473,54.84549059
6340,9.46328593,54.8687306
6360,9.20354055,54.90310802
6372,9.14165594,55.01708464
6392,9.20811159,54.9843364
6400,9.71079556,54.9528525
6430,9.77014411,55.06940698
6440,10.00776445,54.98937381
6470,10.03587811,54.87308589
6500,9.31835235,55.2436827
6510,9.01601909,55.27645397
6520,9.0451996,55.18306206
6534,9.15854853,55.12832485
6535,9.05916508,55.12085206
6541,9.19750089,55.19588025
6560,9.26072776,55.32447339
6580,9.34398711,55.41366579
6600,9.11204215,55.4784284
6621,9.1837296,55.53607493
6622,9.15666611,55.58270689
6623,9.09958348,55.63499139
6630,9.14057169,55.38472069
6640,9.32882435,55.4763505
6650,8.99731666,55.49880374
6660,8.99575864,55.41777362
6670,8.90149179,55.51123399
6682,8.94671137,55.60367953
6683,8.91001913,55.43560842
6690,8.82201058,55.4813413
6700,8.46174114,55.45935717
6705,8.50670361,55.49119455
6710,8.34866677,55.55262453
6715,8.5093547,55.55332885
6720,7.56593986,55.28286185
6731,8.59046906,55.46029975
6740,8.70168486,55.46065157
6752,8.83181793,55.55973335
6753,8.82421529,55.60852142
6760,8.76358629,55.31137673
6771,8.60307494,55.37115323
6780,8.79091021,55.17738587
6792,8.29013955,55.14881868
6800,8.52854473,55.65607154
6818,8.71514348,55.5768897
6823,8.75126746,55.72123589
6830,8.22547945,55.7873441
6840,8.2413214,55.63843566
6851,8.38971082,55.63374455
6852,8.306516,55.59542013
6853,5.24215492,55.43289751
6854,4.43594447,55.71982269
6855,8.37405373,55.70803366
6857,6.6069035,55.45206547
6862,8.63263378,55.71896752
6870,8.61815877,55.79347704
6880,8.54104706,55.89016003
6893,8.33561789,55.85259869
6900,8.53885308,55.99089664
6920,8.66992988,56.08052418
6933,8.92947696,55.94883412
6940,8.42316735,56.05110041
6950,4.07461311,56.20098497
6960,4.28511819,55.93212987
6971,8.50600358,56.15361133
6973,8.52448598,56.21518023
6980,8.19684723,56.18956069
6990,8.0070526,56.3042395
7000,9.66918005,55.57103757
7080,9.67048857,55.65719788
7100,9.5066267,55.69052913
7120,9.63873738,55.7220274
7130,10.02918372,55.76046689
7140,9.78417201,55.69215915
7150,9.8978292,55.68695015
7160,9.50220604,55.87483844
7171,9.59518771,55.8358153
7173,9.42328648,55.86467774
7182,9.36512374,55.70610256
7183,9.26919785,55.67810764
7184,9.19531768,55.71507833
7190,9.10071489,55.73792043
7200,8.89887879,55.75986358
7250,8.96462269,55.69122218
7260,8.89341393,55.85051521
7270,8.82814289,55.89268974
7280,8.80469301,55.94233943
7300,9.43589642,55.76853547
7321,9.31066038,55.77031641
7323,9.2710166,55.85744681
7330,9.0912202,55.93341595
7361,9.24826265,56.02375436
7362,9.38166979,56.06515415
7400,8.98775376,56.11911505
7430,9.1925469,56.09377094
7441,9.25469883,56.15035869
7442,9.30391703,56.21005036
7451,9.02585964,56.22960774
7470,9.17419358,56.32799021
7480,8.74507312,56.18215286
7490,8.79948064,56.2699576
7500,8.58519299,56.34794414
7540,8.9740962,56.32444075
7550,8.66525292,56.25194401
7560,8.64900967,56.43288826
7570,8.27244636,56.35236537
7600,8.60339354,56.52775554
7620,8.33453584,56.54580784
7650,5.04556549,56.54689645
7660,8.33184097,56.41551889
7673,8.06400269,56.62870473
7680,6.26580665,56.86776362
7700,7.90681299,57.32370377
7730,8.33928238,57.44347291
7741,8.9170332,57.39912576
7742,9.03058677,57.00570708
7752,7.47858654,57.2597249
7755,7.21613935,57.17740891
7760,8.42909599,56.72425361
7770,6.93927002,57.02202911
7790,8.51363052,56.62765212
7800,8.99505562,56.46317549
7830,8.80020865,56.47769058
7840,9.16509632,56.59677993
7850,9.12847686,56.48444375
7860,8.82098992,56.62419195
7870,9.04159313,56.72437033
7884,9.00553893,56.84193567
7900,8.88457349,56.90798948
7950,8.69843044,56.8517685
